id,urlDrugName,rating,effectiveness,sideEffects,condition,sentiment_rating,mdl_sentiment_lbl,mdl_lbl_score
1597,xanax,9,Considerably Effective,Mild Side Effects,anxiety,positive,NEGATIVE,0.9776198863983154
545,propranolol,5,Highly Effective,Mild Side Effects,rapid heart rate,neutral,NEGATIVE,0.9816867113113403
1631,premarin,4,Moderately Effective,Mild Side Effects,surgical memopause,neutral,POSITIVE,0.9693470001220703
298,lovenox,10,Highly Effective,Mild Side Effects,blood thinning/ circulation during pregnancy,positive,NEGATIVE,0.8810508251190186
3690,effexor-xr,9,Highly Effective,Mild Side Effects,severe depression,positive,NEGATIVE,0.9596904516220093
1438,tirosint,9,Highly Effective,No Side Effects,slow thyroid  & irregular period,positive,POSITIVE,0.7344698905944824
2312,lexapro,3,Marginally Effective,Severe Side Effects,depression/anxiety,negative,NEGATIVE,0.9768378734588623
2114,renova,5,Moderately Effective,Mild Side Effects,wrinkles,neutral,NEGATIVE,0.9906097054481506
1481,cymbalta,7,Considerably Effective,Mild Side Effects,depression,neutral,NEGATIVE,0.994664192199707
3202,omnicef,1,Marginally Effective,Severe Side Effects,"severe sore throat with pus, and ear pain on same",negative,NEGATIVE,0.9923664927482605
1349,crestor,9,Considerably Effective,No Side Effects,hypercholestremia,positive,NEGATIVE,0.7122797966003418
777,naproxen,1,Ineffective,Severe Side Effects,back spasm,negative,NEGATIVE,0.990921676158905
2991,strattera,8,Considerably Effective,Mild Side Effects,bipolar,positive,POSITIVE,0.5519794821739197
2050,prempro,8,Considerably Effective,Mild Side Effects,pre-menepause,positive,NEGATIVE,0.9203624129295349
1933,zithromax,6,Considerably Effective,Mild Side Effects,bronchitis infectiion,neutral,NEGATIVE,0.8698423504829407
3657,kapidex,8,Considerably Effective,No Side Effects,reflux,positive,NEGATIVE,0.9850971698760986
2451,symbyax,8,Considerably Effective,No Side Effects,bipolar disorder,positive,NEGATIVE,0.9923418760299683
2616,adderall-xr,8,Highly Effective,Moderate Side Effects,lack of attention for studying/school,positive,NEGATIVE,0.9853449463844299
492,meridia,10,Highly Effective,No Side Effects,obesity,positive,NEGATIVE,0.9820379018783569
3675,effexor-xr,10,Highly Effective,No Side Effects,depression & anxiety,positive,NEGATIVE,0.9974409341812134
886,paxil,8,Considerably Effective,Mild Side Effects,depression,positive,NEGATIVE,0.9474567770957947
1601,xanax,9,Highly Effective,No Side Effects,severe depression< agrophobia & other phobias,positive,NEGATIVE,0.885698139667511
304,protopic,10,Highly Effective,No Side Effects,eczema,positive,NEGATIVE,0.9518976211547852
1168,zofran,1,Ineffective,Extremely Severe Side Effects,nausea (after surgery),negative,NEGATIVE,0.9935035109519958
3492,serzone,10,Highly Effective,Mild Side Effects,sleep distubance/mild depression,positive,NEGATIVE,0.9312228560447693
3370,lipitor,10,Highly Effective,Mild Side Effects,high cholesterol,positive,NEGATIVE,0.9677011966705322
217,wellbutrin-xl,7,Moderately Effective,Mild Side Effects,depression,neutral,NEGATIVE,0.9661026000976562
3313,zoloft,8,Highly Effective,Mild Side Effects,depression,positive,NEGATIVE,0.9404974579811096
580,acyclovir,5,Moderately Effective,No Side Effects,herpes,neutral,NEGATIVE,0.9971801042556763
3445,provera,3,Marginally Effective,Severe Side Effects,hormones,negative,NEGATIVE,0.9958896040916443
1867,augmentin,9,Highly Effective,Moderate Side Effects,sinus infection,positive,NEGATIVE,0.9962310194969177
571,atenolol,7,Considerably Effective,Severe Side Effects,supraventricular tachycardia,neutral,NEGATIVE,0.9869813323020935
2056,prempro,4,Moderately Effective,Severe Side Effects,menopause,neutral,NEGATIVE,0.9945449829101562
1068,botox,1,Moderately Effective,Extremely Severe Side Effects,cosmetic/frown lines,negative,NEGATIVE,0.993346095085144
347,neurontin,9,Highly Effective,Mild Side Effects,pain relief,positive,NEGATIVE,0.9869367480278015
2552,dexedrine,1,Ineffective,Moderate Side Effects,add,negative,NEGATIVE,0.9639044404029846
3417,aricept,9,Highly Effective,No Side Effects,2,positive,NEGATIVE,0.8343909382820129
2466,aciphex,10,Highly Effective,No Side Effects,stomach nervousness,positive,NEGATIVE,0.915995180606842
682,accutane,7,Considerably Effective,Moderate Side Effects,acne,neutral,NEGATIVE,0.9874124526977539
547,propranolol,10,Considerably Effective,Mild Side Effects,tremor,positive,NEGATIVE,0.9716470837593079
1612,avage,10,Highly Effective,Mild Side Effects,hormonal acne/sun damage,positive,POSITIVE,0.8507963418960571
3173,prednisone,4,Marginally Effective,Mild Side Effects,itching body rash,neutral,NEGATIVE,0.9863210320472717
2281,lexapro,7,Considerably Effective,Moderate Side Effects,depression,neutral,NEGATIVE,0.7293161749839783
3161,prednisone,7,Highly Effective,Moderate Side Effects,crohns,neutral,POSITIVE,0.5452626943588257
1177,prozac,8,Highly Effective,Mild Side Effects,depression,positive,NEGATIVE,0.797338604927063
87,pristiq,7,Moderately Effective,Moderate Side Effects,depression,neutral,NEGATIVE,0.9967707395553589
1773,citalopram,2,Ineffective,Moderate Side Effects,depression,negative,NEGATIVE,0.9972031116485596
870,paxil,1,Ineffective,Severe Side Effects,depression,negative,NEGATIVE,0.9974933862686157
3738,lamictal,10,Highly Effective,No Side Effects,bipolar ii,positive,NEGATIVE,0.9881189465522766
185,adderall,7,Considerably Effective,Moderate Side Effects,attention deficit disorder,neutral,POSITIVE,0.9460965991020203
189,adderall,10,Highly Effective,No Side Effects,adult add,positive,POSITIVE,0.8746407628059387
4003,celexa,10,Highly Effective,Mild Side Effects,panic disorder,positive,NEGATIVE,0.8924934267997742
378,lamotrigine,1,Marginally Effective,Severe Side Effects,bipolar disorder,negative,NEGATIVE,0.9935972690582275
2988,strattera,9,Highly Effective,Mild Side Effects,adhd,positive,NEGATIVE,0.626003086566925
3886,abilify,6,Considerably Effective,No Side Effects,depression,neutral,NEGATIVE,0.9993945360183716
2452,ecotrin,3,Moderately Effective,Severe Side Effects,cad,negative,NEGATIVE,0.9624196887016296
3233,nuvaring,9,Highly Effective,Mild Side Effects,birth control,positive,NEGATIVE,0.986497700214386
3568,differin,5,Moderately Effective,Mild Side Effects,mild acne,neutral,NEGATIVE,0.9818638563156128
3122,reglan,4,Marginally Effective,No Side Effects,lactation,neutral,NEGATIVE,0.9935451745986938
1289,zocor,8,Considerably Effective,Mild Side Effects,elevated cholesterol,positive,NEGATIVE,0.99216628074646
3505,atacand,9,Considerably Effective,Mild Side Effects,high blood pressure,positive,NEGATIVE,0.9864999055862427
2664,prinivil,9,Moderately Effective,Mild Side Effects,high blood pressure & left ventricular hypertrophy,positive,NEGATIVE,0.9913256764411926
1721,retin-a-micro,3,Marginally Effective,Moderate Side Effects,mild acne,negative,NEGATIVE,0.9785399436950684
2144,sustiva,1,Considerably Effective,Extremely Severe Side Effects,hiv,negative,NEGATIVE,0.9616780281066895
3896,dispermox,7,Considerably Effective,Mild Side Effects,bronchitis,neutral,NEGATIVE,0.9981687068939209
497,meridia,9,Highly Effective,Extremely Severe Side Effects,obesity,positive,NEGATIVE,0.9889499545097351
2500,naprosyn,6,Considerably Effective,Mild Side Effects,back,neutral,NEGATIVE,0.9975070357322693
326,ativan,8,Considerably Effective,Moderate Side Effects,insomnia,positive,POSITIVE,0.508186399936676
3031,seroquel,7,Considerably Effective,Moderate Side Effects,bipolar disorder,neutral,NEGATIVE,0.9302736520767212
4018,celexa,7,Highly Effective,Moderate Side Effects,depression,neutral,NEGATIVE,0.9946544170379639
42,zyprexa,10,Highly Effective,Mild Side Effects,schizo-affect/bi-polar,positive,POSITIVE,0.6019867658615112
2695,efudex,4,Moderately Effective,Severe Side Effects,actinic keratoses,neutral,NEGATIVE,0.9948596954345703
3467,ambien-cr,10,Highly Effective,No Side Effects,sleeping,positive,NEGATIVE,0.9824864864349365
2894,taxotere,8,Highly Effective,Severe Side Effects,cancer,positive,NEGATIVE,0.9964553117752075
3359,lipitor,1,Marginally Effective,Extremely Severe Side Effects,high cholesterol,negative,NEGATIVE,0.9744462370872498
2253,zovirax,10,Highly Effective,No Side Effects,cold sores,positive,NEGATIVE,0.9765443801879883
463,flagyl,6,Considerably Effective,Moderate Side Effects,stomach bacteria,neutral,NEGATIVE,0.9881171584129333
2193,clonazepam,10,Highly Effective,Mild Side Effects,anxiety/ panic attacks,positive,NEGATIVE,0.9983065128326416
694,accutane,8,Considerably Effective,Moderate Side Effects,acne,positive,NEGATIVE,0.9735956192016602
1145,ponstel,7,Considerably Effective,No Side Effects,migraine,neutral,NEGATIVE,0.9947406649589539
1566,lortab,4,Highly Effective,Severe Side Effects,pain from recovering from abdominal surgery,neutral,NEGATIVE,0.9810426235198975
1135,methadone,8,Highly Effective,Moderate Side Effects,opiate dependency,positive,NEGATIVE,0.9857450127601624
2209,advair-diskus,10,Highly Effective,No Side Effects,asthma,positive,NEGATIVE,0.983447790145874
4088,mobic,1,Marginally Effective,Moderate Side Effects,severe back pain,negative,NEGATIVE,0.9876536726951599
2631,depo-provera,4,Highly Effective,Severe Side Effects,preventing pregnancy,neutral,NEGATIVE,0.9897974729537964
3108,ortho-tri-cyclen,4,Considerably Effective,Moderate Side Effects,birth control/control of menstrual cycle,neutral,NEGATIVE,0.992236316204071
2175,zyrtec,7,Highly Effective,Moderate Side Effects,allergies,neutral,NEGATIVE,0.9931895732879639
1783,citalopram,7,Moderately Effective,Moderate Side Effects,"depression, anxiety",neutral,NEGATIVE,0.9795823097229004
641,seasonique,5,Moderately Effective,Moderate Side Effects,birth control,neutral,NEGATIVE,0.995897650718689
3959,prilosec,10,Highly Effective,No Side Effects,gerd,positive,NEGATIVE,0.9957839846611023
3156,prednisone,8,Highly Effective,Moderate Side Effects,severe asthma,positive,NEGATIVE,0.9918125867843628
569,atenolol,7,Highly Effective,Moderate Side Effects,tachycardia,neutral,NEGATIVE,0.9788588285446167
3781,bentyl,7,Considerably Effective,Moderate Side Effects,diaheria assc. w/ chemo,neutral,NEGATIVE,0.9858440160751343
3228,nuvaring,10,Highly Effective,No Side Effects,birth control,positive,NEGATIVE,0.9763062596321106
3584,differin,5,Moderately Effective,Moderate Side Effects,acne,neutral,NEGATIVE,0.9619462490081787
2265,lexapro,10,Highly Effective,No Side Effects,mild depression,positive,NEGATIVE,0.9629238247871399
3154,prednisone,10,Highly Effective,Mild Side Effects,rheumatoid arthritis,positive,NEGATIVE,0.9803885221481323
3991,fosamax,4,Ineffective,Mild Side Effects,osteoporosis,neutral,NEGATIVE,0.9708935022354126
2777,clindamycin,2,Moderately Effective,Severe Side Effects,post dental work,negative,NEGATIVE,0.9695958495140076
1976,lyrica,9,Highly Effective,Moderate Side Effects,leg pain from compressed spinal cord,positive,NEGATIVE,0.9934349060058594
31,alprazolam,10,Highly Effective,Mild Side Effects,anxiety and panic diorder,positive,NEGATIVE,0.9893186688423157
1133,methadone,9,Highly Effective,Moderate Side Effects,back pain,positive,NEGATIVE,0.9797719120979309
1522,glucophage,1,Ineffective,Extremely Severe Side Effects,diabetes type 2,negative,NEGATIVE,0.9708575010299683
2100,renova,8,Moderately Effective,Mild Side Effects,aging skin on face,positive,NEGATIVE,0.5364605784416199
872,paxil,7,Considerably Effective,Moderate Side Effects,depression,neutral,NEGATIVE,0.9933170080184937
3816,nolvadex,7,Moderately Effective,Moderate Side Effects,breast cancer,neutral,NEGATIVE,0.989410936832428
2225,allegra,8,Considerably Effective,Mild Side Effects,seasonal allergies,positive,NEGATIVE,0.6494107842445374
2596,buspar,10,Highly Effective,Mild Side Effects,anxiety,positive,NEGATIVE,0.9971020817756653
3170,prednisone,2,Moderately Effective,Severe Side Effects,polymyalgia rheumatica (pmr),negative,NEGATIVE,0.9902309775352478
2506,dicyclomine,7,Moderately Effective,Mild Side Effects,ibs,neutral,POSITIVE,0.9706923961639404
398,relpax,5,Marginally Effective,Moderate Side Effects,migraine headaches,neutral,NEGATIVE,0.9667401313781738
2116,renova,5,Considerably Effective,Severe Side Effects,wrinkles,neutral,NEGATIVE,0.9948981404304504
3905,nexium,10,Highly Effective,No Side Effects,acid reflux,positive,NEGATIVE,0.9416294097900391
1903,doxycycline,7,Highly Effective,Moderate Side Effects,mrsa infected hip resurfacing.,neutral,NEGATIVE,0.9896180033683777
3477,dextroamphetamine,8,Considerably Effective,Mild Side Effects,add,positive,NEGATIVE,0.9484286904335022
2569,klonopin,1,Marginally Effective,Moderate Side Effects,anxiety,negative,NEGATIVE,0.9952098727226257
4072,mobic,2,Ineffective,Moderate Side Effects,"poss. rheumitoid arth. lupus, or fibromyalgia",negative,NEGATIVE,0.9964334964752197
1673,claritin,1,Ineffective,No Side Effects,allergies,negative,NEGATIVE,0.9823775291442871
3346,lipitor,7,Considerably Effective,No Side Effects,high cholesterol,neutral,NEGATIVE,0.9933022260665894
2703,naltrexone,10,Highly Effective,No Side Effects,multiple sclerosis,positive,NEGATIVE,0.9927005767822266
33,alprazolam,10,Highly Effective,Mild Side Effects,anxiety,positive,NEGATIVE,0.9954785704612732
214,trental,8,Highly Effective,Mild Side Effects,hiv,positive,NEGATIVE,0.9930778741836548
1502,metrogel,1,Ineffective,No Side Effects,skin  texture changes due to rosacea,negative,NEGATIVE,0.9990779161453247
3671,effexor-xr,3,Marginally Effective,Mild Side Effects,depression,negative,NEGATIVE,0.8675264120101929
1335,seroquel-xr,8,Highly Effective,Extremely Severe Side Effects,bipolar ii,positive,NEGATIVE,0.8883983492851257
1124,evista,8,Considerably Effective,No Side Effects,loss of bone density,positive,NEGATIVE,0.8679454922676086
2424,synthroid,8,Highly Effective,No Side Effects,hashimoto's thyroiditis,positive,NEGATIVE,0.9906110167503357
533,trazodone,9,Considerably Effective,Mild Side Effects,insomnia/poor sleep quality,positive,NEGATIVE,0.9928352236747742
943,levaquin,1,Moderately Effective,Extremely Severe Side Effects,bronchitis,negative,NEGATIVE,0.9967154264450073
3333,tetracycline,8,Considerably Effective,Mild Side Effects,moderate persisting acne,positive,NEGATIVE,0.9910016655921936
617,finacea,9,Highly Effective,Mild Side Effects,acne and red marks from acne,positive,NEGATIVE,0.9715235233306885
2692,indocin,10,Highly Effective,No Side Effects,rheumatoid arthritis,positive,NEGATIVE,0.9705983400344849
895,paxil,1,Ineffective,Extremely Severe Side Effects,severe depression,negative,NEGATIVE,0.9962905645370483
3964,prilosec,8,Considerably Effective,Moderate Side Effects,dyspepsia,positive,NEGATIVE,0.9801028370857239
2550,dexedrine,3,Ineffective,Moderate Side Effects,supposed adhd,negative,NEGATIVE,0.9958685636520386
2768,duac,10,Highly Effective,No Side Effects,acne,positive,NEGATIVE,0.5187148451805115
644,seasonique,2,Considerably Effective,Severe Side Effects,prevent pregnancy/reduce frequency of migraines,negative,NEGATIVE,0.9954628348350525
840,ritalin,7,Moderately Effective,Mild Side Effects,adhd,neutral,POSITIVE,0.9853178262710571
1376,biaxin,3,Considerably Effective,Moderate Side Effects,bronchitis,negative,NEGATIVE,0.9966742992401123
3852,voltaren,1,Moderately Effective,Extremely Severe Side Effects,reactive arthritis (leg joint swelling/stiffness),negative,NEGATIVE,0.9675745368003845
2826,wellbutrin,6,Moderately Effective,Moderate Side Effects,stop smoking/depression,neutral,POSITIVE,0.5447718501091003
2378,femara,3,Moderately Effective,Moderate Side Effects,breast cancer,negative,NEGATIVE,0.983247697353363
3633,retin-a,6,Considerably Effective,Moderate Side Effects,acne,neutral,NEGATIVE,0.9789690971374512
3556,vytorin,3,Moderately Effective,Moderate Side Effects,high cholesterol,negative,NEGATIVE,0.9897991418838501
1456,cymbalta,8,Considerably Effective,Mild Side Effects,depression,positive,POSITIVE,0.5399649143218994
2374,propecia,7,Highly Effective,Mild Side Effects,hair loss,neutral,NEGATIVE,0.9958926439285278
3074,emsam,1,Ineffective,Extremely Severe Side Effects,depression,negative,POSITIVE,0.8339657783508301
3474,ambien-cr,10,Considerably Effective,No Side Effects,insomnia,positive,POSITIVE,0.9885793924331665
803,ambien,10,Highly Effective,No Side Effects,insomnia,positive,POSITIVE,0.9650545120239258
3050,seroquel,5,Highly Effective,Moderate Side Effects,insomnia,neutral,NEGATIVE,0.9855296015739441
2697,detrol-la,9,Considerably Effective,Mild Side Effects,incontinence,positive,NEGATIVE,0.9933909177780151
3968,norvasc,5,Moderately Effective,Moderate Side Effects,hypertension,neutral,NEGATIVE,0.9976663589477539
3613,retin-a,7,Moderately Effective,Mild Side Effects,"acne, anti-aging",neutral,NEGATIVE,0.9825924634933472
1375,biaxin,7,Considerably Effective,Mild Side Effects,"sinus infection, chest infection",neutral,NEGATIVE,0.9948154091835022
2582,clobetasol,7,Moderately Effective,Mild Side Effects,psoraisis,neutral,NEGATIVE,0.9705914258956909
3735,lamictal,10,Highly Effective,No Side Effects,bipolar ii,positive,NEGATIVE,0.9140088558197021
192,adderall,9,Highly Effective,Mild Side Effects,"add, depression",positive,NEGATIVE,0.9558837413787842
903,paxil,1,Ineffective,Extremely Severe Side Effects,ocd,negative,NEGATIVE,0.9685064554214478
1397,ortho-evra,8,Highly Effective,Moderate Side Effects,birth control,positive,NEGATIVE,0.9877579212188721
3986,fosamax,4,Marginally Effective,Moderate Side Effects,osteoporosis,neutral,NEGATIVE,0.9859151840209961
538,trazodone,5,Considerably Effective,Mild Side Effects,insomnia/ a bit of depression,neutral,NEGATIVE,0.9897491335868835
4119,chantix,3,Moderately Effective,Moderate Side Effects,quit smoking,negative,NEGATIVE,0.9992477893829346
1461,cymbalta,8,Highly Effective,Mild Side Effects,major depressive disorder/anxiety,positive,NEGATIVE,0.935660719871521
1243,sotret,4,Considerably Effective,Severe Side Effects,acne,neutral,NEGATIVE,0.9704485535621643
844,ritalin,8,Considerably Effective,Mild Side Effects,add,positive,NEGATIVE,0.6361693739891052
3178,desyrel,9,Highly Effective,Mild Side Effects,insomnia,positive,NEGATIVE,0.9643846154212952
519,requip,10,Highly Effective,Mild Side Effects,restless leg syndrome,positive,POSITIVE,0.7556759119033813
1407,adipex-p,10,Highly Effective,Mild Side Effects,chronic fatigue syndrome,positive,NEGATIVE,0.6492723226547241
752,flonase,8,Considerably Effective,No Side Effects,allergies,positive,NEGATIVE,0.7878059148788452
3275,zoloft,9,Considerably Effective,No Side Effects,depression,positive,POSITIVE,0.7632094621658325
408,restasis,7,Moderately Effective,No Side Effects,dry eye,neutral,NEGATIVE,0.9765525460243225
2261,lexapro,8,Considerably Effective,Mild Side Effects,depression,positive,POSITIVE,0.609399676322937
3893,dispermox,10,Highly Effective,No Side Effects,tooth abscess,positive,NEGATIVE,0.9735344052314758
987,antivert,5,Moderately Effective,Moderate Side Effects,b.p.p.v. (benign proxysmal positional vertigo),neutral,NEGATIVE,0.9902192950248718
481,meridia,6,Marginally Effective,No Side Effects,weight loss,neutral,NEGATIVE,0.952082097530365
528,trazodone,9,Highly Effective,No Side Effects,"sleep disorder, insomnia",positive,NEGATIVE,0.9939932227134705
2955,zyban,10,Highly Effective,No Side Effects,smoking,positive,NEGATIVE,0.9887747764587402
2307,lexapro,10,Highly Effective,Mild Side Effects,depression/anxiety,positive,NEGATIVE,0.9854961037635803
1518,glucophage,10,Highly Effective,No Side Effects,diabetes type 2,positive,NEGATIVE,0.9326300621032715
687,accutane,7,Moderately Effective,Mild Side Effects,acne,neutral,NEGATIVE,0.9461151361465454
2753,xenical,6,Considerably Effective,Moderate Side Effects,obesity,neutral,NEGATIVE,0.9940924048423767
2284,lexapro,10,Considerably Effective,No Side Effects,always crying,positive,NEGATIVE,0.9916511178016663
88,pristiq,10,Highly Effective,No Side Effects,depression,positive,NEGATIVE,0.9705594182014465
522,requip,8,Highly Effective,No Side Effects,rls,positive,NEGATIVE,0.997797966003418
918,paxil,8,Highly Effective,Moderate Side Effects,stress and depression,positive,NEGATIVE,0.9928063154220581
1749,topamax,7,Highly Effective,Moderate Side Effects,epilepsy,neutral,NEGATIVE,0.9931570887565613
3265,zoloft,4,Moderately Effective,Mild Side Effects,irritable bowel syndrome,neutral,NEGATIVE,0.9797975420951843
1857,augmentin,3,Highly Effective,Moderate Side Effects,suspected upper respiratory infection,negative,NEGATIVE,0.998435914516449
1120,effexor,8,Considerably Effective,Mild Side Effects,75 mg,positive,POSITIVE,0.9944658875465393
1501,metrogel,1,Ineffective,Severe Side Effects,rosacea,negative,NEGATIVE,0.985850989818573
3216,penlac,1,Ineffective,No Side Effects,toenail fungus,negative,NEGATIVE,0.9895137548446655
530,trazodone,8,Highly Effective,Moderate Side Effects,insomnia,positive,NEGATIVE,0.9858340620994568
2817,wellbutrin,9,Considerably Effective,Mild Side Effects,depression,positive,NEGATIVE,0.9908888339996338
2975,strattera,5,Considerably Effective,Moderate Side Effects,adhd,neutral,NEGATIVE,0.9895455241203308
2216,benicar-hct,10,Highly Effective,No Side Effects,hypertension,positive,NEGATIVE,0.991436779499054
4048,amoxil,10,Highly Effective,No Side Effects,h-pylori,positive,POSITIVE,0.9769787192344666
148,zmax,10,Highly Effective,No Side Effects,tonsillitis,positive,NEGATIVE,0.9842788577079773
2717,elavil,7,Considerably Effective,Moderate Side Effects,migraines,neutral,NEGATIVE,0.9832079410552979
3686,effexor-xr,7,Considerably Effective,Mild Side Effects,depression,neutral,NEGATIVE,0.9910818338394165
1274,provigil,10,Highly Effective,No Side Effects,narcolepsy,positive,NEGATIVE,0.948749303817749
1629,premarin,9,Highly Effective,Mild Side Effects,partial hysterectomy,positive,NEGATIVE,0.9488583207130432
3531,lunesta,7,Moderately Effective,Mild Side Effects,insomnia,neutral,NEGATIVE,0.9966668486595154
3918,nexium,10,Highly Effective,No Side Effects,hiatal hernia,positive,NEGATIVE,0.9892793297767639
4087,mobic,6,Highly Effective,Severe Side Effects,whiplash/ back and neck pain from auto accident,neutral,NEGATIVE,0.9921665191650391
3937,nexium,7,Highly Effective,No Side Effects,stomach acid/reflux,neutral,POSITIVE,0.9085565209388733
3384,baclofen,8,Considerably Effective,Mild Side Effects,multiple sclerosis,positive,NEGATIVE,0.9955337047576904
1083,effexor,9,Highly Effective,No Side Effects,migraine,positive,NEGATIVE,0.9941257238388062
3397,proscar,7,Moderately Effective,Mild Side Effects,hair loss,neutral,NEGATIVE,0.9867022633552551
2016,triaz,10,Highly Effective,Mild Side Effects,acne,positive,NEGATIVE,0.7600498795509338
1253,tapazole,10,Highly Effective,No Side Effects,hyperthyroidism,positive,NEGATIVE,0.9834110140800476
3687,effexor-xr,7,Highly Effective,Moderate Side Effects,"depression, social anxiety disorder",neutral,NEGATIVE,0.9778741002082825
1578,xanax,9,Highly Effective,Mild Side Effects,anxiety,positive,NEGATIVE,0.9803099036216736
2187,clonazepam,9,Highly Effective,Mild Side Effects,anxiety/ panic attacks/ insomnia,positive,NEGATIVE,0.9519447088241577
4061,amoxil,10,Highly Effective,No Side Effects,sore throat with a low grade fever,positive,NEGATIVE,0.9724248051643372
1388,benzaclin,8,Considerably Effective,Mild Side Effects,acne,positive,NEGATIVE,0.979993462562561
1,nasonex,7,Considerably Effective,Moderate Side Effects,congested sinuses,neutral,NEGATIVE,0.970616340637207
2218,benicar-hct,1,Moderately Effective,Severe Side Effects,hypertension,negative,NEGATIVE,0.9902030229568481
3206,arava,1,Ineffective,Severe Side Effects,ra and ankylizing spondolitis,negative,NEGATIVE,0.6606228947639465
2620,trileptal,7,Moderately Effective,Moderate Side Effects,tri geminal neuralgia,neutral,NEGATIVE,0.8244917988777161
302,pataday,9,Highly Effective,No Side Effects,allergic reaction,positive,NEGATIVE,0.9891493916511536
504,paxil-cr,5,Moderately Effective,Severe Side Effects,anxiety/panic attacks,neutral,NEGATIVE,0.9930243492126465
1014,estrace,7,Considerably Effective,Moderate Side Effects,surgical menopause,neutral,POSITIVE,0.9591073393821716
224,wellbutrin-xl,10,Highly Effective,No Side Effects,chronic depression,positive,NEGATIVE,0.9331856369972229
1805,oxycontin,3,Considerably Effective,Extremely Severe Side Effects,back pain,negative,NEGATIVE,0.9928105473518372
381,lamotrigine,10,Highly Effective,No Side Effects,ptsd,positive,NEGATIVE,0.9946830868721008
3540,vivelle-dot,10,Highly Effective,No Side Effects,low estragen,positive,POSITIVE,0.7824380993843079
942,levaquin,1,Ineffective,Severe Side Effects,sinusitis,negative,NEGATIVE,0.996834933757782
623,finacea,8,Considerably Effective,No Side Effects,acne & rosacea,positive,NEGATIVE,0.975850522518158
3673,effexor-xr,8,Considerably Effective,Mild Side Effects,depression,positive,NEGATIVE,0.993066668510437
1227,ultracet,9,Highly Effective,Mild Side Effects,chronic pain from disk hernia in cervical spine,positive,NEGATIVE,0.8162321448326111
3578,differin,7,Considerably Effective,Mild Side Effects,acne,neutral,NEGATIVE,0.9655457139015198
3450,tamiflu,5,Moderately Effective,Moderate Side Effects,the flu,neutral,NEGATIVE,0.9823471307754517
689,accutane,10,Highly Effective,Moderate Side Effects,acne vulgaris,positive,NEGATIVE,0.9517734050750732
70,flexeril,8,Considerably Effective,Moderate Side Effects,muscle spasm/neck and upper back pain,positive,NEGATIVE,0.7060263752937317
1785,citalopram,8,Highly Effective,Mild Side Effects,"depression, anxiety",positive,NEGATIVE,0.9956411123275757
568,atenolol,9,Considerably Effective,Mild Side Effects,heart racing and fluttering,positive,NEGATIVE,0.9946138262748718
2161,zyrtec,5,Highly Effective,Severe Side Effects,allergies,neutral,NEGATIVE,0.9760885238647461
85,methimazole,5,Highly Effective,Severe Side Effects,hyperthyroidism,neutral,NEGATIVE,0.9800410270690918
